segment_id,street,direction,length,observed_speed,predicted_speed,travel_time_minutes,estimated_co2,distance_score,time_score,emission_score,distance_focused_score,balanced_score,sustainability_focused_score
82,Pulaski,SB,0.46,20.0,23.4,1.18,96.2,0.2987,0.095,0.2706,0.2348,0.2202,0.2207
85,Pulaski,SB,0.5,25.0,27.1,1.11,104.6,0.3506,0.0832,0.3177,0.2671,0.2488,0.2506
86,Pulaski,SB,0.24,20.0,20.9,0.69,50.2,0.013,0.0166,0.0118,0.014,0.0138,0.0133
87,Pulaski,SB,0.5,28.0,25.6,1.17,104.6,0.3506,0.0937,0.3177,0.2703,0.2524,0.2538
88,Pulaski,SB,0.5,23.0,25.6,1.17,104.6,0.3506,0.0937,0.3177,0.2703,0.2524,0.2538
89,Pulaski,SB,0.5,18.0,23.4,1.28,104.6,0.3506,0.1106,0.3177,0.2753,0.2581,0.2588
90,Pulaski,SB,0.5,30.0,27.1,1.11,104.6,0.3506,0.0832,0.3177,0.2671,0.2488,0.2506
91,Pulaski,SB,0.65,30.0,26.5,1.47,136.0,0.5455,0.1412,0.4941,0.419,0.3911,0.3934
92,Pulaski,SB,0.85,29.0,29.2,1.75,177.8,0.8052,0.1849,0.7294,0.6115,0.5693,0.5736
95,Pulaski,SB,0.5,14.0,24.5,1.23,104.6,0.3506,0.102,0.3177,0.2727,0.2552,0.2562
96,Pulaski,SB,0.5,28.0,24.5,1.23,104.6,0.3506,0.102,0.3177,0.2727,0.2552,0.2562
97,Pulaski,SB,0.5,23.0,24.6,1.22,104.6,0.3506,0.1009,0.3177,0.2724,0.2548,0.2559
104,Ashland,NB,0.5,28.0,27.1,1.11,104.6,0.3506,0.0829,0.3177,0.267,0.2487,0.2505
106,Ashland,NB,0.5,29.0,26.8,1.12,104.6,0.3506,0.0849,0.3177,0.2676,0.2494,0.2511
107,Ashland,NB,0.5,31.0,26.8,1.12,104.6,0.3506,0.0849,0.3177,0.2676,0.2494,0.2511
108,Ashland,NB,0.5,30.0,26.8,1.12,104.6,0.3506,0.0849,0.3177,0.2676,0.2494,0.2511
111,Ashland,NB,0.5,27.0,26.7,1.12,104.6,0.3506,0.0858,0.3177,0.2679,0.2497,0.2514
112,Ashland,NB,0.5,25.0,26.4,1.14,104.6,0.3506,0.0877,0.3177,0.2685,0.2504,0.252
127,Ashland,NB,0.5,35.0,25.1,1.2,104.6,0.3506,0.0973,0.3177,0.2714,0.2536,0.2549
129,Ashland,NB,0.5,26.0,25.9,1.16,104.6,0.3506,0.0912,0.3177,0.2695,0.2516,0.253
131,Ashland,NB,0.5,20.0,24.9,1.2,104.6,0.3506,0.0986,0.3177,0.2717,0.2541,0.2552
134,Ashland,SB,0.5,25.0,25.1,1.2,104.6,0.3506,0.0973,0.3177,0.2714,0.2536,0.2549
135,Ashland,SB,0.5,25.0,26.0,1.16,104.6,0.3506,0.0908,0.3177,0.2694,0.2514,0.2529
136,Ashland,SB,0.5,28.0,25.8,1.16,104.6,0.3506,0.0919,0.3177,0.2697,0.2518,0.2532
137,Ashland,SB,1.0,26.0,26.5,2.26,209.2,1.0,0.2672,0.9059,0.7707,0.7198,0.7237
142,Ashland,SB,0.5,29.0,25.1,1.2,104.6,0.3506,0.0973,0.3177,0.2714,0.2536,0.2549
143,Ashland,SB,0.5,26.0,24.9,1.2,104.6,0.3506,0.0986,0.3177,0.2717,0.2541,0.2552
147,Ashland,SB,0.5,26.0,26.3,1.14,104.6,0.3506,0.0887,0.3177,0.2688,0.2507,0.2523
148,Ashland,SB,1.0,36.0,29.9,2.01,209.2,1.0,0.2268,0.9059,0.7586,0.7061,0.7116
149,Ashland,SB,0.4,30.0,25.6,0.94,83.7,0.2208,0.0562,0.2,0.1693,0.158,0.159
150,Ashland,SB,0.6,25.0,22.5,1.6,125.5,0.4805,0.1614,0.4353,0.3803,0.3571,0.3577
151,Ashland,SB,0.5,32.0,24.9,1.21,104.6,0.3506,0.0988,0.3177,0.2718,0.2541,0.2553
152,Ashland,SB,0.6,15.0,21.8,1.65,125.5,0.4805,0.1705,0.4353,0.383,0.3602,0.3604
153,Ashland,SB,0.53,18.0,22.9,1.39,110.9,0.3896,0.1282,0.3529,0.3075,0.2886,0.2892
155,Ashland,SB,0.55,25.0,24.8,1.33,115.1,0.4156,0.1189,0.3765,0.3227,0.3018,0.3031
159,Ashland,SB,0.5,17.0,22.0,1.36,104.6,0.3506,0.1236,0.3177,0.2792,0.2626,0.2628
160,Ashland,SB,0.5,20.0,22.7,1.32,104.6,0.3506,0.1177,0.3177,0.2775,0.2606,0.261
161,Ashland,SB,0.5,22.0,22.9,1.31,104.6,0.3506,0.1152,0.3177,0.2767,0.2597,0.2602
162,Ashland,SB,0.5,18.0,22.2,1.35,104.6,0.3506,0.1219,0.3177,0.2787,0.262,0.2622
7,Garfield,EB,0.5,30.0,28.5,1.05,104.6,0.3506,0.0744,0.3177,0.2645,0.2458,0.248
